Timestamp,Total_CPU,Total_RSS_KB,Total_PSS_KB
2025-08-08 11:16:56,0.00
0,0
0,0
2025-08-08 11:16:57,0.00
0,0
0,0
2025-08-08 11:16:59,0.00
0,0
0,0
2025-08-08 11:17:00,0.00
0,0
0,0
2025-08-08 11:17:01,0.00
0,0
0,0
2025-08-08 11:17:02,0.00
0,0
0,0
2025-08-08 11:17:04,0.00
0,0
0,0
2025-08-08 11:17:05,0.00
0,0
0,0
2025-08-08 11:17:06,0.00
0,0
0,0
2025-08-08 11:17:07,0.00
0,0
0,0
2025-08-08 11:17:08,0.00
0,0
0,0
2025-08-08 11:17:10,0.00
0,0
0,0
2025-08-08 11:17:11,0.00
0,0
0,0
2025-08-08 11:17:12,0.00
0,0
0,0
2025-08-08 11:17:13,0.00
0,0
0,0
2025-08-08 11:17:14,0.00
0,0
0,0
2025-08-08 11:17:16,0.00
0,0
0,0
2025-08-08 11:17:17,0.00
0,0
0,0
2025-08-08 11:17:18,0.00
0,0
0,0
2025-08-08 11:17:19,0.00
0,0
0,0
2025-08-08 11:17:21,0.00
0,0
0,0
2025-08-08 11:17:22,0.00
0,0
0,0
2025-08-08 11:17:23,0.00
0,0
0,0
2025-08-08 11:17:24,0.00
0,0
0,0
2025-08-08 11:17:25,0.00
0,0
0,0
2025-08-08 11:17:27,0.00
0,0
0,0
2025-08-08 11:17:28,0.00
0,0
0,0
2025-08-08 11:17:29,0.00
0,0
0,0
2025-08-08 11:17:30,0.00
0,0
0,0
2025-08-08 11:17:31,0.00
0,0
0,0
2025-08-08 11:17:33,0.00
0,0
0,0
2025-08-08 11:17:34,0.00
0,0
0,0
2025-08-08 11:17:35,0.00
0,0
0,0
2025-08-08 11:17:36,0.00
0,0
0,0
2025-08-08 11:17:38,0.00
0,0
0,0
2025-08-08 11:17:39,0.00
0,0
0,0
2025-08-08 11:17:40,0.00
0,0
0,0
2025-08-08 11:17:41,0.00
0,0
0,0
2025-08-08 11:17:42,0.00
0,0
0,0
2025-08-08 11:17:44,0.00
0,0
0,0
2025-08-08 11:17:45,0.00
0,0
0,0
2025-08-08 11:17:46,0.00
0,0
0,0
2025-08-08 11:17:47,0.00
0,0
0,0
2025-08-08 11:17:48,0.00
0,0
0,0
2025-08-08 11:17:50,0.00
0,0
0,0
2025-08-08 11:17:51,0.00
0,0
0,0
2025-08-08 11:17:52,0.00
0,0
0,0
2025-08-08 11:17:53,0.00
0,0
0,0
2025-08-08 11:17:55,0.00
0,0
0,0
2025-08-08 11:17:56,0.00
0,0
0,0
2025-08-08 11:17:57,0.00
0,0
0,0
2025-08-08 11:17:58,0.00
0,0
0,0
2025-08-08 11:17:59,0.00
0,0
0,0
2025-08-08 11:18:00,0.00
0,0
0,0
2025-08-08 11:18:02,0.00
0,0
0,0
2025-08-08 11:18:03,0.00
0,0
0,0
2025-08-08 11:18:04,0.00
0,0
0,0
2025-08-08 11:18:05,0.00
0,0
0,0
2025-08-08 11:18:07,0.00
0,0
0,0
2025-08-08 11:18:08,0.00
0,0
0,0
2025-08-08 11:18:09,0.00
0,0
0,0
2025-08-08 11:18:10,0.00
0,0
0,0
2025-08-08 11:18:11,0.00
0,0
0,0
2025-08-08 11:18:13,0.00
0,0
0,0
2025-08-08 11:18:14,0.00
0,0
0,0
2025-08-08 11:18:15,0.00
0,0
0,0
2025-08-08 11:18:16,0.00
0,0
0,0
2025-08-08 11:18:17,0.00
0,0
0,0
2025-08-08 11:18:19,0.00
0,0
0,0
2025-08-08 11:18:20,0.00
0,0
0,0
2025-08-08 11:18:21,0.00
0,0
0,0
2025-08-08 11:18:22,0.00
0,0
0,0
2025-08-08 11:18:24,0.00
0,0
0,0
2025-08-08 11:18:25,0.00
0,0
0,0
2025-08-08 11:18:26,0.00
0,0
0,0
2025-08-08 11:18:27,0.00
0,0
0,0
2025-08-08 11:18:28,0.00
0,0
0,0
2025-08-08 11:18:30,0.00
0,0
0,0
2025-08-08 11:18:31,0.00
0,0
0,0
2025-08-08 11:18:32,0.00
0,0
0,0
2025-08-08 11:18:33,0.00
0,0
0,0
2025-08-08 11:18:34,0.00
0,0
0,0
2025-08-08 11:18:36,0.00
0,0
0,0
2025-08-08 11:18:37,0.00
0,0
0,0
2025-08-08 11:18:38,0.00
0,0
0,0
2025-08-08 11:18:39,0.00
0,0
0,0
2025-08-08 11:18:41,0.00
0,0
0,0
2025-08-08 11:18:42,0.00
0,0
0,0
2025-08-08 11:18:43,0.00
0,0
0,0
2025-08-08 11:18:44,0.00
0,0
0,0
2025-08-08 11:18:45,0.00
0,0
0,0
2025-08-08 11:18:47,0.00
0,0
0,0
2025-08-08 11:18:48,0.00
0,0
0,0
2025-08-08 11:18:49,0.00
0,0
0,0
2025-08-08 11:18:50,0.00
0,0
0,0
2025-08-08 11:18:52,0.00
0,0
0,0
2025-08-08 11:18:53,0.00
0,0
0,0
2025-08-08 11:18:54,0.00
0,0
0,0
2025-08-08 11:18:55,0.00
0,0
0,0
2025-08-08 11:18:56,0.00
0,0
0,0
2025-08-08 11:18:58,0.00
0,0
0,0
2025-08-08 11:18:59,0.00
0,0
0,0
2025-08-08 11:19:00,0.00
0,0
0,0
2025-08-08 11:19:01,0.00
0,0
0,0
2025-08-08 11:19:02,0.00
0,0
0,0
2025-08-08 11:19:04,0.00
0,0
0,0
2025-08-08 11:19:05,0.00
0,0
0,0
2025-08-08 11:19:06,0.00
0,0
0,0
2025-08-08 11:19:07,0.00
0,0
0,0
2025-08-08 11:19:08,0.00
0,0
0,0
